user_id,age,gender,city,register_date
U00000001,58,M,昆明市,2022-10-08
U00000002,19,F,梧州县,2022-07-26
U00000003,33,M,瑞市,2022-05-23
U00000004,26,M,娟市,2022-04-06
U00000005,61,M,武汉市,2022-07-20
U00000006,55,F,济南市,2022-02-16
U00000007,20,M,瑜市,2022-06-12
U00000008,23,M,平市,2022-05-10
U00000009,32,M,梧州县,2022-05-24
U00000010,53,M,宁市,2022-11-30
U00000011,63,F,建平县,2022-06-20
U00000012,32,F,静市,2022-05-12
U00000013,55,F,海燕县,2022-04-15
U00000014,69,M,桂芝县,2022-11-24
U00000015,66,M,沈阳县,2022-08-08
U00000016,62,F,银川县,2022-01-14
U00000017,39,F,永安县,2022-12-15
U00000018,27,M,惠州县,2022-03-25
U00000019,66,F,强市,2022-10-03
U00000020,24,M,秀英市,2022-02-13
U00000021,42,M,芳县,2022-06-07
U00000022,40,F,呼和浩特县,2022-12-25
U00000023,56,F,建军市,2022-10-01
U00000024,69,M,大冶县,2022-05-18
U00000025,64,F,兰州市,2022-12-20
U00000026,52,M,静市,2022-05-12
U00000027,42,M,澳门市,2022-07-09
U00000028,53,F,玲市,2022-06-30
U00000029,58,F,柳州县,2022-05-07
U00000030,54,M,凤兰县,2022-08-25
U00000031,63,M,南昌县,2022-01-12
U00000032,20,M,沈阳县,2022-07-16
U00000033,67,F,汕尾市,2022-08-01
U00000034,23,M,合山县,2022-08-11
U00000035,24,F,杭州市,2022-08-13
U00000036,35,F,永安县,2022-08-23
U00000037,58,F,北镇市,2022-12-17
U00000038,28,F,澳门市,2022-01-10
U00000039,40,M,宁市,2022-11-20
U00000040,60,F,六安县,2022-02-22
U00000041,62,M,辉市,2022-12-08
U00000042,56,M,太原县,2022-08-21
U00000043,52,M,济南市,2022-08-11
U00000044,28,F,乌鲁木齐市,2022-04-25
U00000045,42,F,玲县,2022-10-05
U00000046,58,M,上海市,2022-09-05
U00000047,61,F,雪县,2022-05-08
U00000048,67,M,淑英县,2022-10-29
U00000049,32,M,俊市,2022-10-11
U00000050,69,F,丽华县,2022-01-08
U00000051,43,F,建平市,2022-10-25
U00000052,22,M,桂芳县,2022-11-08
U00000053,54,F,林县,2022-03-28
U00000054,31,F,辛集县,2022-06-04
U00000055,43,F,柳州市,2022-06-09
U00000056,27,F,丽丽县,2022-12-23
U00000057,26,M,潮州市,2022-12-23
U00000058,65,F,关岭市,2022-03-29
U00000059,65,F,雪梅市,2022-06-14
U00000060,55,F,平市,2022-08-13
U00000061,41,M,明市,2022-04-17
U00000062,26,F,天津县,2022-11-26
U00000063,23,M,澳门县,2022-01-30
U00000064,25,M,丽娟市,2022-08-03
U00000065,58,M,瑜县,2022-04-21
U00000066,68,F,沈阳县,2022-02-10
U00000067,56,M,台北市,2022-11-22
U00000068,42,F,欣县,2022-02-08
U00000069,56,F,玉华县,2022-05-08
U00000070,51,F,宁德市,2022-12-27
U00000071,53,M,张家港县,2022-06-09
U00000072,61,M,斌县,2022-02-04
U00000073,61,F,帅县,2022-06-04
U00000074,67,F,成都市,2022-11-05
U00000075,25,F,玉兰市,2022-07-16
U00000076,45,M,玉兰市,2022-02-15
U00000077,47,M,福州市,2022-09-11
U00000078,64,F,明市,2022-08-20
U00000079,50,M,惠州市,2022-04-25
U00000080,50,M,通辽市,2022-03-23
U00000081,58,F,广州市,2022-12-08
U00000082,58,M,冬梅市,2022-10-26
U00000083,27,F,宁德市,2022-06-02
U00000084,66,M,秀芳市,2022-10-29
U00000085,52,M,阜新县,2022-05-03
U00000086,56,F,颖市,2022-01-16
U00000087,49,M,雪市,2022-06-04
U00000088,25,F,马鞍山县,2022-01-03
U00000089,69,F,呼和浩特县,2022-07-02
U00000090,33,M,欢县,2022-06-18
U00000091,33,M,关岭县,2022-04-06
U00000092,23,F,郑州市,2022-08-06
U00000093,70,M,深圳县,2022-07-15
U00000094,66,M,彬市,2022-10-01
U00000095,26,F,宁市,2022-10-15
U00000096,53,M,拉萨市,2022-12-14
